City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,villa juarez,24.6536,-107.5411,31.93,59,66,2.93,MX,1689868331
209,mar del plata,-38.0023,-57.5575,13.86,71,0,8.05,AR,1689868105
210,xiantao,30.3833,113.4,26.61,92,95,2.29,CN,1689868331
211,chulakkurgan,43.765,69.1814,29.18,21,0,5.01,KZ,1689868331
212,yeniseysk,58.4497,92.1703,17.74,61,27,2.31,RU,1689868332
213,cockburn town,21.4612,-71.1419,28.19,79,80,8.24,TC,1689868332
214,codrington,-38.2667,141.9667,7.43,78,43,4.55,AU,1689868332
215,mudanjiang,44.5833,129.6,20.71,90,92,1.13,CN,1689868332
216,shimoda,34.6667,138.95,22.84,87,48,4.71,JP,1689868337
217,enewetak,11.3474,162.3373,28.54,80,43,6.89,MH,1689868337
218,anori,-3.7728,-61.6442,36.0,27,6,2.36,BR,1689868338
219,mogocha,53.7333,119.7667,9.73,74,9,0.67,RU,1689868339
220,vila franca do campo,37.7167,-25.4333,22.23,65,100,0.97,PT,1689868339
221,ornskoldsvik,63.2909,18.7153,19.53,59,100,3.6,SE,1689868339
222,vilyuchinsk,52.9306,158.4028,12.15,95,96,0.68,RU,1689868116
223,inarajan village,13.2736,144.7484,28.54,89,100,2.72,GU,1689868339
224,thompson,55.7435,-97.8558,20.09,73,40,2.06,CA,1689868340
225,petawawa,45.9001,-77.3328,23.77,67,75,2.06,CA,1689868340
226,xilin hot,43.9667,116.0333,19.54,65,40,3.29,CN,1689868340
227,broome,42.2506,-75.833,28.16,51,0,1.54,US,1689868340
228,sinabang,2.4803,96.3801,26.07,82,96,1.72,ID,1689868341
229,kruisfontein,-34.0033,24.7314,9.94,64,91,4.1,ZA,1689868341
230,bamboo flat,11.7,92.7167,28.05,89,75,5.66,IN,1689868341
231,sejenane,37.0572,9.2381,31.53,34,3,4.98,TN,1689868341
232,sao paulo de olivenca,-3.3783,-68.8725,29.81,68,48,1.14,BR,1689868342
233,al qadarif,14.0349,35.3834,33.45,40,100,5.48,SD,1689868342
234,takab,36.4009,47.1133,25.43,36,55,5.2,IR,1689868342
235,el nido,11.1858,119.3956,27.41,79,100,2.17,PH,1689868343
236,carnarvon,-24.8667,113.6333,15.24,42,0,9.2,AU,1689868343
237,sirte,31.2089,16.5887,30.12,59,0,4.28,LY,1689868343
238,manokwari,-0.8667,134.0833,25.77,84,26,1.97,ID,1689868344
239,kyaikkami,16.08,97.5675,25.33,87,100,3.33,MM,1689868344
240,xiongzhou,25.1167,114.3,25.83,93,99,1.3,CN,1689868344
241,daru,-9.0763,143.2092,24.51,83,100,5.35,PG,1689868344
242,richards bay,-28.783,32.0377,14.68,81,100,5.71,ZA,1689868101
243,pariaman,-0.619,100.12,24.03,89,100,1.55,ID,1689868345
244,tonala,20.6167,-103.2333,19.51,77,100,2.06,MX,1689868345
245,hadibu,12.65,54.0333,25.24,79,100,7.65,YE,1689868345
246,hermanus,-34.4187,19.2345,12.67,65,3,7.82,ZA,1689868277
247,huanan,46.2167,130.5167,21.03,92,98,1.49,CN,1689868345
248,siwa oasis,29.2041,25.5195,38.66,13,0,3.21,EG,1689868346
249,moorebank,-33.9333,150.9497,12.67,68,0,0.89,AU,1689868346
250,iqaluit,63.7506,-68.5145,3.85,100,100,2.57,CA,1689868144
251,gembu,6.7,11.2667,21.37,89,59,1.34,NG,1689868346
252,strezhevoy,60.7333,77.5889,20.72,57,100,3.02,RU,1689868346
253,n'zeto,-7.2312,12.8666,22.98,71,5,3.33,AO,1689868347
254,demopolis,32.5176,-87.8364,31.97,66,0,3.6,US,1689868347
255,kerikeri,-35.2268,173.9474,7.73,95,6,0.85,NZ,1689868347
256,carepa,7.7585,-76.6525,29.88,84,75,3.09,CO,1689868348
257,prince george,53.9166,-122.753,20.14,62,0,3.6,CA,1689868091
258,back mountain,41.3359,-75.9963,28.58,69,0,1.26,US,1689868348
259,guiyang,26.5833,106.7167,22.27,88,0,2.0,CN,1689868318
260,sosnogorsk,63.6023,53.8817,18.8,89,92,1.97,RU,1689868349
261,naugachhia,25.4,87.1,32.6,62,100,3.37,IN,1689868349
262,qaqortoq,60.7167,-46.0333,8.63,87,100,3.53,GL,1689868285
263,moram,17.8,76.4667,22.12,94,100,8.59,IN,1689868349
264,atar,20.5169,-13.0499,44.03,15,14,5.14,MR,1689868349
265,frontera,26.9333,-101.45,31.29,55,77,0.89,MX,1689868349
266,chamba,32.5667,76.1333,26.18,91,92,0.55,IN,1689868350
267,selfoss,63.9331,-20.9971,18.91,69,96,4.66,IS,1689868350
268,tofol,5.3248,163.0078,28.19,78,100,7.41,FM,1689868350
269,sterling,39.0062,-77.4286,31.4,60,20,2.68,US,1689868217
270,ebon,4.582,168.6964,27.81,80,100,6.69,MH,1689868350
271,massawa,15.6097,39.45,36.05,49,97,1.95,ER,1689868350
272,santiago de cao,-7.9589,-79.2392,23.07,78,100,4.12,PE,1689868351
273,sengkang,-4.1279,120.0297,23.18,94,1,1.23,ID,1689868351
274,vila velha,-20.3297,-40.2925,23.97,82,75,7.2,BR,1689868351
275,armidale,-30.5167,151.65,1.44,62,0,2.08,AU,1689868351
276,schnaittach,49.5592,11.3431,25.61,37,85,0.45,DE,1689868351
277,ugoofaaru,5.6667,73.0,28.44,79,100,7.15,MV,1689868351
278,kedrovka,55.5333,86.05,18.49,78,100,2.17,RU,1689868352
279,port elizabeth,-33.918,25.5701,13.16,54,75,3.09,ZA,1689868352
280,rojhan,28.6868,69.9534,38.42,39,49,2.8,PK,1689868352
281,archidona,37.0965,-4.3887,36.31,12,28,7.79,ES,1689868352
282,minas de marcona,-15.2119,-75.1103,17.76,60,34,3.59,PE,1689868296
283,thisted,56.9552,8.6949,15.67,71,73,10.01,DK,1689868352
284,mili,6.0815,171.735,28.4,81,100,8.42,MH,1689868352
285,tshabong,-26.05,22.45,16.49,21,0,3.25,BW,1689868353
286,lerwick,60.1545,-1.1494,13.0,81,99,8.31,GB,1689868103
287,decize,46.8285,3.4619,26.82,30,96,0.62,FR,1689868353
288,harper,4.375,-7.7169,26.0,83,100,5.57,LR,1689868353
289,wenji,8.45,39.2833,23.9,56,100,3.7,ET,1689868353
290,kudat,6.8837,116.8477,25.96,94,20,0.0,MY,1689868353
291,new plymouth,-39.0667,174.0833,12.12,69,100,9.06,NZ,1689868095
292,castillos,-34.1667,-53.8333,16.28,71,100,4.72,UY,1689868354
293,hailar,49.2,119.7,16.44,64,80,0.95,CN,1689868354
294,labrador city,52.9463,-66.9114,14.95,72,100,2.57,CA,1689868210
295,tosontsengel,48.7567,98.2839,11.28,81,56,2.44,MN,1689868354
296,aginskoye,51.1,114.53,15.01,53,32,0.97,RU,1689868354
297,kidal,18.4411,1.4078,40.67,17,39,6.66,ML,1689868354
298,prince rupert,54.3161,-130.3201,14.83,98,100,0.51,CA,1689868210
299,bikenibeu village,1.3673,173.1241,25.98,94,75,1.03,KI,1689868355
300,santa pola,38.1917,-0.5658,31.09,80,20,2.68,ES,1689868355
301,kristiansund,63.1115,7.732,15.36,58,40,4.63,NO,1689868355
302,sabang,5.8933,95.3214,29.01,74,52,10.78,ID,1689868355
303,saldanha,-33.0117,17.9442,16.03,62,0,5.72,ZA,1689868111
304,daday,41.4787,33.4667,24.3,54,0,2.09,TR,1689868355
305,fort bragg,35.139,-79.006,32.17,60,0,2.57,US,1689868355
306,ouagadougou,12.3642,-1.5383,32.07,66,40,4.63,BF,1689868356
307,ixtapa,20.7,-105.2,30.68,78,57,1.79,MX,1689868356
308,aioun,16.6614,-9.6149,39.47,25,94,8.76,MR,1689868356
309,auki,-8.7676,160.7034,25.39,91,98,1.56,SB,1689868356
310,babayevo,59.3936,35.9371,17.62,64,100,5.0,RU,1689868356
311,port douglas,-16.4833,145.4667,20.5,81,61,2.69,AU,1689868065
312,carutapera,-1.195,-46.02,30.38,58,13,3.65,BR,1689868357
313,ust-nera,64.5667,143.2,19.08,53,57,2.62,RU,1689868328
314,perugorria,-29.3413,-58.6106,19.06,55,88,3.89,AR,1689868357
315,zahedan,29.4963,60.8629,32.95,18,89,5.14,IR,1689868357
316,roosevelt,33.9668,-103.4505,28.83,24,92,5.03,US,1689868357
317,dolores,-36.3132,-57.6792,13.45,67,97,4.36,AR,1689868357
318,port-vila,-17.7338,168.3219,18.78,100,75,1.54,VU,1689868358
319,aweil,8.7682,27.4002,28.91,60,92,1.39,SS,1689868358
320,cu chi,10.9667,106.4667,26.01,90,99,2.29,VN,1689868358
321,labytnangi,66.6572,66.4183,21.08,75,91,4.52,RU,1689868358
322,kuala kangsar,4.7667,100.9333,26.96,96,100,0.7,MY,1689868358
323,homer,59.6425,-151.5483,13.76,94,75,0.0,US,1689868358
324,kangding,30.0513,101.9603,16.13,99,100,0.99,CN,1689868358
325,turpan,42.9333,89.1667,39.23,15,95,6.02,CN,1689868358
326,sakakah,29.9697,40.2064,42.76,8,0,3.7,SA,1689868358
327,chibougamau,49.9168,-74.3659,17.79,63,75,2.52,CA,1689868359
328,nongstoin,25.5167,91.2667,20.43,96,100,1.32,IN,1689868359
329,yamada,39.4667,141.95,19.13,93,96,0.2,JP,1689868359
330,happy valley-goose bay,53.3168,-60.3315,22.17,49,75,3.6,CA,1689868359
331,mujiayingzi,42.1167,118.7833,22.67,62,42,0.6,CN,1689868359
332,arua,3.0201,30.9111,22.76,64,79,2.19,UG,1689868359
333,khandyga,62.6667,135.6,15.43,83,81,1.5,RU,1689868359
334,mossel bay,-34.1831,22.146,11.96,67,32,8.56,ZA,1689868360
335,quinte west,44.1834,-77.5662,26.22,53,40,2.06,CA,1689868360
336,kroya,-7.6331,109.2461,22.93,90,32,3.27,ID,1689868360
337,vernon,50.2581,-119.2691,23.85,43,0,1.54,CA,1689868360
338,zemio,5.0314,25.1361,24.01,83,73,1.09,CF,1689868360
339,egersund,58.4513,5.9997,14.65,88,97,5.85,NO,1689868360
340,cadale,2.7603,46.3222,25.65,81,73,9.93,SO,1689868360
341,al kharijah,25.4514,30.5464,41.28,10,0,1.97,EG,1689868361
342,seminole,28.7086,-81.2081,34.63,68,0,2.57,US,1689868200
343,deming,32.2687,-107.7586,32.94,18,0,3.09,US,1689868361
344,kostanay,53.1667,63.5833,24.16,64,40,4.0,KZ,1689868361
345,zhangye,38.9342,100.4517,23.54,30,7,0.69,CN,1689868361
346,neftcala,39.3742,49.2472,26.37,61,0,4.04,AZ,1689868361
347,at taj,24.2049,23.2857,38.09,10,0,6.19,LY,1689868362
348,cabo san lucas,22.8909,-109.9124,34.78,51,40,2.06,MX,1689868320
349,beawar,26.1,74.3167,31.91,62,61,1.05,IN,1689868362
350,kupang,-10.1667,123.5833,24.45,77,76,6.44,ID,1689868362
351,sanibel,26.449,-82.0223,34.47,65,79,2.24,US,1689868362
352,chadron,42.8294,-102.9999,18.86,66,100,1.34,US,1689868362
353,hirara,24.8,125.2833,26.92,89,20,2.57,JP,1689868363
354,newman,37.3138,-121.0208,26.19,24,0,2.48,US,1689868363
355,illizi,26.4833,8.4667,40.89,9,0,8.23,DZ,1689868363
356,fort mcmurray,56.7268,-111.381,18.77,82,0,2.57,CA,1689868287
357,sinop,41.7711,34.8709,22.24,67,0,1.97,TR,1689868365
358,eureka,40.8021,-124.1637,14.4,94,69,1.34,US,1689868254
359,puerto armuelles,8.2833,-82.8667,30.99,81,31,1.79,PA,1689868365
360,zhelezinka,53.54,75.3072,23.82,47,62,4.71,KZ,1689868365
361,cill airne,52.05,-9.5167,16.03,67,40,3.09,IE,1689868367
362,bel ombre,-4.6167,55.4167,25.91,83,40,5.14,SC,1689868367
363,bandarbeyla,9.4942,50.8122,23.69,84,100,13.19,SO,1689868352
364,opuwo,-18.0607,13.84,24.74,9,0,1.24,NA,1689868367
